epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.676,0.39263,0.40615,0.86322,0.95793,0.88524,0.90662,0.87728,0.32868,0.46052,0.8354,0.0005941,0.0005941,0.0005941
43,501.717,0.39593,0.40126,0.86428,0.95406,0.8997,0.91039,0.87704,0.3348,0.48455,0.83373,0.0005842,0.0005842,0.0005842
44,513.654,0.39687,0.39887,0.87191,0.95262,0.9037,0.90777,0.87538,0.32521,0.46762,0.83275,0.0005743,0.0005743,0.0005743
45,525.26,0.38889,0.39843,0.86871,0.9557,0.9037,0.89082,0.85348,0.34265,0.4685,0.84061,0.0005644,0.0005644,0.0005644
46,536.354,0.40935,0.41997,0.87154,0.94343,0.89965,0.88271,0.85281,0.34546,0.47328,0.83618,0.0005545,0.0005545,0.0005545
47,547.512,0.39619,0.39947,0.87491,0.94767,0.8951,0.91067,0.88235,0.32586,0.44319,0.83238,0.0005446,0.0005446,0.0005446
48,558.983,0.37558,0.39886,0.87789,0.94941,0.88541,0.9086,0.88169,0.32762,0.40986,0.83846,0.0005347,0.0005347,0.0005347
49,570.082,0.38855,0.39879,0.86988,0.95641,0.88761,0.91158,0.8749,0.3607,0.4277,0.84053,0.0005248,0.0005248,0.0005248
50,581.376,0.4015,0.40535,0.8705,0.9566,0.88639,0.91249,0.87652,0.32932,0.43137,0.83787,0.0005149,0.0005149,0.0005149
51,592.598,0.38044,0.3803,0.8677,0.95434,0.8999,0.90207,0.87475,0.33768,0.45813,0.83681,0.000505,0.000505,0.000505
52,604.229,0.37813,0.38347,0.86692,0.9544,0.9037,0.88501,0.85538,0.33045,0.42086,0.841,0.0004951,0.0004951,0.0004951
53,616.176,0.37667,0.36935,0.86093,0.95654,0.9037,0.87537,0.8397,0.34691,0.42778,0.84041,0.0004852,0.0004852,0.0004852
54,627.955,0.37853,0.37932,0.87219,0.95416,0.9037,0.89289,0.86688,0.31245,0.4376,0.83316,0.0004753,0.0004753,0.0004753
55,640.194,0.37,0.36357,0.85978,0.95537,0.89275,0.90082,0.87349,0.32966,0.39685,0.84503,0.0004654,0.0004654,0.0004654
56,662.017,0.38481,0.36882,0.85954,0.95498,0.89996,0.90916,0.88117,0.31475,0.39611,0.84157,0.0004555,0.0004555,0.0004555
57,678.039,0.37006,0.35786,0.86276,0.95388,0.89566,0.90861,0.87312,0.32144,0.401,0.83853,0.0004456,0.0004456,0.0004456
58,688.965,0.38008,0.36344,0.86524,0.95967,0.89072,0.90837,0.87662,0.31495,0.38758,0.83243,0.0004357,0.0004357,0.0004357
59,699.876,0.37208,0.36625,0.86175,0.96098,0.89859,0.90784,0.88289,0.30608,0.37035,0.82864,0.0004258,0.0004258,0.0004258
60,711.025,0.34268,0.33489,0.85314,0.94954,0.90314,0.90854,0.87808,0.31922,0.40425,0.83158,0.0004159,0.0004159,0.0004159
61,723.742,0.36029,0.35734,0.86157,0.9559,0.9037,0.8994,0.86966,0.30588,0.39691,0.82968,0.000406,0.000406,0.000406
62,735.984,0.37454,0.36015,0.87384,0.95213,0.90309,0.89871,0.87442,0.32038,0.39266,0.82848,0.0003961,0.0003961,0.0003961
63,747.766,0.34389,0.34572,0.85988,0.94946,0.89875,0.87692,0.84849,0.32705,0.40324,0.8271,0.0003862,0.0003862,0.0003862
64,759.647,0.36254,0.34793,0.84955,0.95193,0.89853,0.90103,0.87639,0.29637,0.38942,0.82605,0.0003763,0.0003763,0.0003763
65,772.874,0.34672,0.3434,0.85363,0.95872,0.88801,0.90179,0.87636,0.3024,0.37468,0.83217,0.0003664,0.0003664,0.0003664
66,785.099,0.35865,0.34583,0.8675,0.95637,0.89003,0.87684,0.85079,0.32012,0.39628,0.8356,0.0003565,0.0003565,0.0003565
67,797.143,0.36449,0.3591,0.87452,0.95616,0.89909,0.88454,0.86176,0.32213,0.38863,0.83188,0.0003466,0.0003466,0.0003466
68,808.717,0.35053,0.33811,0.85943,0.95388,0.8879,0.89324,0.86602,0.32,0.39174,0.83134,0.0003367,0.0003367,0.0003367
69,819.996,0.34345,0.33718,0.85913,0.95346,0.88686,0.91069,0.88012,0.29558,0.36789,0.83032,0.0003268,0.0003268,0.0003268
70,831.653,0.33161,0.32672,0.85181,0.95325,0.89882,0.91169,0.8841,0.28635,0.36617,0.8281,0.0003169,0.0003169,0.0003169
71,843.051,0.34388,0.33947,0.86147,0.95607,0.89223,0.9123,0.88581,0.30029,0.36262,0.83087,0.000307,0.000307,0.000307
72,854.214,0.34561,0.32686,0.86453,0.95188,0.89809,0.91162,0.88667,0.28889,0.36431,0.82785,0.0002971,0.0002971,0.0002971
73,865.23,0.33285,0.3215,0.83855,0.95383,0.89922,0.90285,0.88336,0.27381,0.35421,0.82658,0.0002872,0.0002872,0.0002872
74,876.446,0.3499,0.32063,0.86868,0.95779,0.89186,0.90248,0.88165,0.28224,0.36276,0.82714,0.0002773,0.0002773,0.0002773
75,887.484,0.32598,0.31513,0.84973,0.95731,0.8877,0.90444,0.87677,0.3028,0.36329,0.82958,0.0002674,0.0002674,0.0002674
76,898.432,0.34965,0.33747,0.85897,0.95752,0.88746,0.91481,0.89236,0.28366,0.34707,0.82662,0.0002575,0.0002575,0.0002575
77,909.408,0.31696,0.30723,0.84922,0.95696,0.88736,0.9156,0.89234,0.28989,0.35949,0.82489,0.0002476,0.0002476,0.0002476
78,920.403,0.35042,0.3287,0.86204,0.95949,0.88643,0.89835,0.87115,0.30008,0.36005,0.8254,0.0002377,0.0002377,0.0002377
79,932.065,0.33541,0.31367,0.85789,0.95741,0.8893,0.90772,0.88073,0.29656,0.35301,0.82508,0.0002278,0.0002278,0.0002278
80,972.798,0.33409,0.31732,0.85001,0.9579,0.88654,0.91632,0.88494,0.28473,0.34233,0.82304,0.0002179,0.0002179,0.0002179
81,984.124,0.3249,0.31467,0.85094,0.95768,0.88804,0.91525,0.88509,0.27682,0.33368,0.82118,0.000208,0.000208,0.000208
82,995.461,0.33425,0.31435,0.84748,0.9561,0.893,0.88949,0.86245,0.29032,0.35288,0.82317,0.0001981,0.0001981,0.0001981
83,1007.11,0.34813,0.31663,0.86144,0.9548,0.8921,0.88744,0.86267,0.2823,0.35867,0.82428,0.0001882,0.0001882,0.0001882
84,1018.87,0.33739,0.32164,0.85951,0.95889,0.88909,0.87817,0.85511,0.28789,0.35857,0.82416,0.0001783,0.0001783,0.0001783
85,1053.08,0.31247,0.31397,0.85404,0.95198,0.898,0.87839,0.8613,0.27617,0.3515,0.82336,0.0001684,0.0001684,0.0001684
86,1065.09,0.32035,0.30994,0.85196,0.95757,0.88987,0.88138,0.86568,0.28085,0.35244,0.82843,0.0001585,0.0001585,0.0001585
87,1077.58,0.31359,0.29794,0.85462,0.95859,0.88942,0.89908,0.87168,0.27801,0.33234,0.83045,0.0001486,0.0001486,0.0001486
88,1089.36,0.32328,0.29817,0.8467,0.95813,0.88842,0.90697,0.87941,0.27685,0.32499,0.83182,0.0001387,0.0001387,0.0001387
89,1101.18,0.31265,0.30145,0.8453,0.95694,0.88813,0.90734,0.87988,0.28384,0.33808,0.83454,0.0001288,0.0001288,0.0001288
90,1114.86,0.31167,0.29754,0.85512,0.95555,0.89032,0.90812,0.8836,0.28233,0.33397,0.83548,0.0001189,0.0001189,0.0001189
91,1131.28,0.24981,0.27306,0.8008,0.95481,0.8902,0.88822,0.86121,0.28129,0.35231,0.83246,0.000109,0.000109,0.000109
92,1145.21,0.24434,0.27854,0.80845,0.9583,0.88779,0.90268,0.87589,0.28092,0.35029,0.82775,9.91e-05,9.91e-05,9.91e-05
93,1158.22,0.24804,0.27097,0.80238,0.95911,0.88736,0.89981,0.87081,0.28059,0.32477,0.82964,8.92e-05,8.92e-05,8.92e-05
94,1170.77,0.24148,0.26232,0.80023,0.95538,0.88776,0.89961,0.87334,0.26773,0.3242,0.83189,7.93e-05,7.93e-05,7.93e-05
95,1182.45,0.25178,0.27209,0.8149,0.95604,0.88725,0.90144,0.87638,0.27427,0.33377,0.83254,6.94e-05,6.94e-05,6.94e-05
96,1193.51,0.24062,0.26591,0.80426,0.95842,0.88645,0.88479,0.85575,0.28238,0.34075,0.82871,5.95e-05,5.95e-05,5.95e-05
97,1204.65,0.24195,0.26475,0.79531,0.95787,0.88637,0.88512,0.85694,0.26829,0.33879,0.82645,4.96e-05,4.96e-05,4.96e-05
98,1215.61,0.23383,0.25879,0.79842,0.95715,0.88638,0.89358,0.86855,0.26726,0.33113,0.8267,3.97e-05,3.97e-05,3.97e-05
99,1226.65,0.22587,0.25713,0.80212,0.95789,0.88585,0.90255,0.87192,0.27269,0.31936,0.8273,2.98e-05,2.98e-05,2.98e-05
100,1237.7,0.23522,0.25752,0.80311,0.95848,0.88558,0.90263,0.87295,0.27358,0.3169,0.82633,1.99e-05,1.99e-05,1.99e-05
