epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0782,0.75839,3.60706,0.95835,0.00601,0.85931,0.29782,0.19585,0.53468,3.65285,0.80771,0.00019,0.00019,0.00019
2,128.336,0.70178,2.26942,0.9157,1,0.16539,0.39303,0.30699,0.51064,3.07431,0.78741,0.0002613,0.0002613,0.0002613
3,191.697,0.62402,1.54932,0.90091,0.95736,0.25091,0.7289,0.65231,0.40655,2.55102,0.80392,0.0002006,0.0002006,0.0002006
1,134.213,0.62796,3.27431,0.95299,0.00347,0.87662,0.33222,0.2689,0.50649,3.39102,0.81346,0.00019,0.00019,0.00019
1,133.417,0.62796,3.27431,0.95299,0.00347,0.87662,0.33222,0.2689,0.50649,3.39102,0.81346,0.00019,0.00019,0.00019
1,131.995,0.61823,3.30747,0.95076,0.00387,0.92208,0.31897,0.25117,0.57461,3.42231,0.79633,0.00019,0.00019,0.00019
1,133.455,0.61823,3.30747,0.95076,0.00387,0.92208,0.31897,0.25117,0.57461,3.42231,0.79633,0.00019,0.00019,0.00019
